#{"t_start": 1671312718.833477, "env_id": "PathTracking-v1"}
r,l,t
-266.896675,500,2.147027
-290.024662,500,2.934043
-242.839186,500,3.802164
-250.0148,500,4.633588
-283.242407,500,5.45808
-162.841513,500,6.212396
-246.942296,500,6.975299
-282.757788,500,7.724194
-223.5097,500,8.538759
-270.923791,500,9.29431
-211.905374,500,10.000672
-193.561858,500,10.759707
-234.151954,500,11.537773
-213.380545,500,12.321647
-214.942256,500,13.074624
-239.739509,500,13.784924
-239.266621,500,14.5432
-175.243437,500,15.305624
-146.957133,500,16.069614
-140.920064,500,16.828218
-116.138519,500,17.59754
-110.740229,500,18.325977
-54.353285,500,19.092005
-74.557762,500,19.856092
-74.877266,500,20.628885
-42.246177,500,21.418543
-42.566645,500,22.12868
-24.530909,500,22.890245
-33.247384,500,23.651227
-13.862343,500,24.408458
-16.536438,500,25.165028
-53.473104,500,25.870334
-38.172384,500,26.635994
-45.577654,500,27.408247
-25.87315,500,28.173828
-21.444808,500,28.934084
-8.825169,500,29.692015
-13.161607,500,30.382889
-21.594127,500,31.15705
-37.478947,500,31.911154
-8.593822,500,32.699354
-8.643832,500,33.520557
-23.701982,500,34.275048
-6.952382,500,35.086597
-27.60342,500,35.853101
-5.242203,500,36.615356
-4.960559,500,37.368003
-13.594121,500,38.069289
-4.792522,500,38.834286
-17.442209,500,39.590502
-18.206114,500,41.305376
-16.214143,500,42.06443
-11.230095,500,42.83291
-33.037819,500,43.539074
-6.877686,500,44.294845
-12.178963,500,45.053096
-6.129178,500,45.80683
-18.506564,500,46.55856
-25.517321,500,47.274923
-21.891864,500,48.044562
-10.032234,500,48.828448
-17.460552,500,49.583414
-8.682576,500,50.337824
-26.405193,500,51.039229
-13.795691,500,51.791281
-15.639862,500,52.550244
-21.829131,500,53.324052
-9.843195,500,54.077029
-37.754425,500,54.826072
-32.247846,500,55.526976
-14.751394,500,56.278179
-4.985977,500,57.04823
-34.898744,500,57.842467
-32.141775,500,58.606679
-13.266139,500,59.316939
-10.483552,500,60.083407
-5.776412,500,60.858809
-34.861649,500,61.615943
-37.756541,500,62.378883
-3.628932,500,63.078688
-6.758464,500,63.835369
-4.040748,500,64.59654
-19.464047,500,65.355541
-28.378835,500,66.111462
-12.318228,500,66.881191
-24.977879,500,67.580954
-5.501717,500,68.334934
-9.084205,500,69.08087
-3.048781,500,69.82467
-12.065546,500,70.572899
-29.720587,500,71.269648
-11.30747,500,72.02001
-11.913441,500,72.779076
-20.883542,500,73.5721
-10.802947,500,74.377985
-6.102474,500,75.117049
-12.95579,500,75.884227
-10.16858,500,76.629043
-35.42818,500,77.367607
-31.111508,500,78.104234
-5.104644,500,79.838379
-9.433799,500,80.553567
-11.583055,500,81.347169
-4.575234,500,82.17038
-33.907792,500,82.931229
-24.501846,500,83.700821
-14.015229,500,84.402412
-33.652557,500,85.165985
-35.988249,500,85.92889
-33.622549,500,86.682402
-30.811568,500,87.43908
-5.827877,500,88.143135
-13.908888,500,88.913785
-30.794226,500,89.678765
-21.705709,500,90.430759
-19.851391,500,91.20474
-9.46394,500,91.955484
-4.252346,500,92.651819
-15.232478,500,93.414441
-25.442838,500,94.178979
-16.432848,500,94.937454
-18.208621,500,95.685746
-10.490919,500,96.378196
-23.054798,500,97.134912
-12.707421,500,97.894352
-9.264442,500,98.671751
-12.03536,500,99.442366
-16.523634,500,100.15813
-16.221167,500,100.938628
-21.619884,500,101.712917
-34.629878,500,102.478558
-26.249481,500,103.24866
-8.545428,500,104.022389
-26.025811,500,104.735569
-9.059582,500,105.510556
-4.803936,500,106.27009
-17.024665,500,107.044583
-15.345484,500,107.804068
-5.086499,500,108.512721
-2.942252,500,109.277308
-15.4484,500,110.040854
-12.176608,500,110.796558
-6.164193,500,111.56579
-14.927439,500,112.270036
-2.55042,500,113.026277
-2.752668,500,113.787479
-4.522736,500,114.542417
-5.478551,500,115.303639
-6.585856,500,116.065373
-10.84834,500,116.766152
-37.41792,500,118.489064
-1.470416,500,119.244831
-35.762711,500,120.003292
-21.885603,500,120.773762
-11.599195,500,121.506949
-37.797095,500,122.26799
-7.278177,500,123.022824
-9.738939,500,123.784775
-11.066659,500,124.542509
-29.152592,500,125.245247
-4.95942,500,125.999834
-4.750597,500,126.802776
-12.520013,500,127.631099
-3.251179,500,128.362169
-8.16913,500,129.099868
-34.067909,500,129.785429
-29.80525,500,130.521036
-10.895433,500,131.255886
-32.983771,500,132.004186
-31.24311,500,132.759812
-7.308465,500,133.451678
-5.934585,500,134.181043
-35.640572,500,134.906373
-7.686321,500,135.629749
-6.685632,500,136.355322
-8.270051,500,137.043209
-7.331031,500,137.781933
-8.040023,500,138.544419
-16.559654,500,139.321953
-13.808953,500,140.101045
-2.369998,500,140.848913
-7.704266,500,141.537114
-12.504513,500,142.323863
-32.198592,500,143.075246
-20.162942,500,143.837973
-7.36569,500,144.595228
-8.882049,500,145.290102
-5.273211,500,146.03142
-21.853116,500,146.76038
-21.38381,500,147.508276
-6.48021,500,148.292816
-10.805289,500,148.992362
-8.446125,500,149.749792
-14.437513,500,150.502463
-7.158501,500,151.256904
-15.460354,500,152.001047
-11.038684,500,152.739069
-9.459332,500,153.455317
-25.38646,500,154.20316
-9.089476,500,154.955597
